t_s,y_pred_mOhm,u_cmd,e,r
254.0,1.020554491628594,0.9695119499885202,-0.0005431614370519089,1.02
255.0,1.020543161437052,0.9696183162376222,-0.0005320627607106054,1.02
256.0,1.0205320627607106,0.9697225090544961,-0.0005211908689093381,1.02
257.0,1.0205211908689094,0.9698245728499177,-0.0005105411276513649,1.02
258.0,1.0205105411276514,0.9699245511271964,-0.0005001089976284234,1.02
259.0,1.0205001089976284,0.9700224865007175,-0.0004898900322873878,1.02
260.0,1.0204898900322874,0.9701184207141068,-0.0004798798759315659,1.02
261.0,1.0204798798759316,0.9702123946580219,-0.00047007426186795875,1.02
262.0,1.020470074261868,0.9703044483875828,-0.0004604690105873832,1.02
263.0,1.0204604690105874,0.9703946211394442,-0.0004510600279810095,1.02
264.0,1.020451060027981,0.9704829513485191,-0.0004418433035975333,1.02
265.0,1.0204418433035976,0.9705694766643619,-0.000432814908932766,1.02
266.0,1.0204328149089328,0.9706542339672155,-0.0004239709957565285,1.02
267.0,1.0204239709957565,0.9707372593837316,-0.0004153077944706318,1.02
268.0,1.0204153077944706,0.9708185883023686,-0.0004068216125023838,1.02
269.0,1.0204068216125024,0.9708982553884754,-0.00039850883273229165,1.02
270.0,1.0203985088327323,0.9709762945990679,-0.0003903659119508518,1.02
271.0,1.0203903659119509,0.9710527391973017,-0.00038238937934753636,1.02
272.0,1.0203823893793476,0.9711276217666506,-0.00037457583503419656,1.02
273.0,1.0203745758350342,0.9712009742247948,-0.00036692194859289096,1.02
274.0,1.020366921948593,0.9712728278372251,-0.00035942445765901887,1.02
275.0,1.020359424457659,0.9713432132305702,-0.0003520801665282125,1.02
276.0,1.0203520801665282,0.9714121604056496,-0.00034488594479586965,1.02
277.0,1.0203448859447959,0.9714796987502623,-0.0003378387260226656,1.02
278.0,1.0203378387260227,0.9715458570517123,-0.0003309355064273767,1.02
279.0,1.0203309355064274,0.9716106635090787,-0.0003241733436061267,1.02
280.0,1.0203241733436061,0.9716741457452356,-0.0003175493552782793,1.02
281.0,1.0203175493552783,0.9717363308186256,-0.0003110607180589753,1.02
282.0,1.020311060718059,0.9717972452347936,-0.0003047046662540964,1.02
283.0,1.0203047046662541,0.9718569149576834,-0.0002984784906832072,1.02
284.0,1.0202984784906832,0.971915365420706,-0.0002923795375231464,1.02
285.0,1.0202923795375232,0.9719726215375786,-0.0002864052071780421,1.02
286.0,1.020286405207178,0.9720287077129453,-0.0002805529531701989,1.02
287.0,1.0202805529531702,0.9720836478527777,-0.00027482028105563217,1.02
288.0,1.0202748202810556,0.9721374653745658,-0.0002692047473606962,1.02
289.0,1.0202692047473607,0.972190183217299,-0.0002637039585406953,1.02
290.0,1.0202637039585407,0.9722418238512431,-0.00025831556995847826,1.02
291.0,1.0202583155699585,0.9722924092875185,-0.00025303728488679234,1.02
292.0,1.0202530372848868,0.9723419610874815,-0.0002478668535272899,1.02
293.0,1.0202478668535273,0.972390500371915,-0.0002428020720544044,1.02
294.0,1.0202428020720544,0.9724380478300313,-0.0002378407816736594,1.02
295.0,1.0202378407816737,0.9724846237282899,-0.00023298086770240367,1.02
296.0,1.0202329808677024,0.9725302479190362,-0.00022822025866808815,1.02
297.0,1.020228220258668,0.9725749398489629,-0.00022355692542563865,1.02
298.0,1.0202235569254257,0.9726187185673996,-0.00021898888029192598,1.02
299.0,1.020218988880292,0.9726616027344311,-0.0002145141762004421,1.02
300.0,1.0202145141762005,0.9727036106288529,-0.00021013090586885497,1.02
301.0,1.0202101309058689,0.9727447601559603,-0.0002058372009874354,1.02
302.0,1.0202058372009875,0.9727850688551815,-0.0002016312314230273,1.02
303.0,1.020201631231423,0.9728245539075532,-0.0001975112044383387,1.02
304.0,1.0201975112044384,0.9728632321430439,-0.00019347536392699816,1.02
305.0,1.020193475363927,0.9729011200477271,-0.00018952198966726286,1.02
306.0,1.0201895219896673,0.9729382337708087,-0.00018564939658660684,1.02
307.0,1.0201856493965866,0.9729745891315099,-0.000181855934044739,1.02
308.0,1.0201818559340448,0.9730102016258105,-0.00017813998512949958,1.02
309.0,1.0201781399851295,0.9730450864330534,-0.00017449996596829997,1.02
310.0,1.0201744999659683,0.9730792584224148,-0.00017093432505244088,1.02
311.0,1.0201709343250525,0.9731127321592421,-0.0001674415425751974,1.02
312.0,1.0201674415425752,0.9731455219112617,-0.00016402012978655733,1.02
313.0,1.0201640201297866,0.9731776416546613,-0.00016066862835462103,1.02
314.0,1.0201606686283546,0.9732091050800458,-0.0001573856097478732,1.02
315.0,1.020157385609748,0.973239925598274,-0.00015416967462367204,1.02
316.0,1.0201541696746237,0.9732701163461739,-0.00015101945223428004,1.02
317.0,1.0201510194522343,0.9732996901921428,-0.00014793359983866772,1.02
318.0,1.0201479335998387,0.9733286597416314,-0.00014491080213541174,1.02
319.0,1.0201449108021354,0.9733570373425179,-0.00014194977069714731,1.02
320.0,1.0201419497706972,0.9733848350903697,-0.00013904924342433844,1.02
321.0,1.0201390492434244,0.9734120648336,-0.00013620798400681977,1.02
322.0,1.0201362079840068,0.9734387381785178,-0.0001334247813962186,1.02
323.0,1.0201334247813962,0.9734648664942749,-0.00013069844928992325,1.02
324.0,1.02013069844929,0.9734904609177116,-0.00012802782562615356,1.02
325.0,1.0201280278256262,0.9735155323581041,-0.00012541177208791332,1.02
326.0,1.020125411772088,0.973540091501814,-0.00012284917361737868,1.02
327.0,1.0201228491736174,0.9735641488168433,-0.00012033893794205497,1.02
328.0,1.020120338937942,0.9735877145572966,-0.00011787999510781688,1.02
329.0,1.0201178799951078,0.9736107987677514,-0.00011547129702349501,1.02
330.0,1.0201154712970235,0.9736334112875392,-0.00011311181701456618,1.02
331.0,1.0201131118170146,0.9736555617549403,-0.00011080054938461537,1.02
