t_s,y_pred,u_cmd,error,reference
230.0,-18.56840862848955,0.3,268.5684086284896,250.0
231.0,-18.568408597307936,0.3,268.56840859730795,250.0
232.0,-18.568408571013343,0.3,268.5684085710133,250.0
233.0,-18.568408551956683,0.3,268.5684085519567,250.0
234.0,-18.568408541274025,0.3,268.56840854127404,250.0
235.0,-18.56840853893918,0.3,268.5684085389392,250.0
236.0,-18.56840854394533,0.3,268.56840854394534,250.0
237.0,-18.568408554574404,0.3,268.5684085545744,250.0
238.0,-18.56840856870898,0.3,268.568408568709,250.0
239.0,-18.568408584143373,0.3,268.56840858414336,250.0
240.0,-18.56840859885739,0.3,268.5684085988574,250.0
241.0,-18.568408611226086,0.3,268.56840861122606,250.0
242.0,-18.568408620150777,0.3,268.56840862015076,250.0
243.0,-18.56840862510775,0.3,268.56840862510774,250.0
244.0,-18.56840862612175,0.3,268.56840862612177,250.0
245.0,-18.568408623678817,0.3,268.5684086236788,250.0
246.0,-18.568408618598085,0.3,268.5684086185981,250.0
247.0,-18.56840861188401,0.3,268.568408611884,250.0
248.0,-18.56840860457943,0.3,268.5684086045794,250.0
249.0,-18.568408597636655,0.3,268.5684085976367,250.0
250.0,-18.568408591819036,0.3,268.56840859181904,250.0
251.0,-18.56840858763997,0.3,268.56840858763996,250.0
252.0,-18.568408585340705,0.3,268.5684085853407,250.0
253.0,-18.568408584903718,0.3,268.5684085849037,250.0
254.0,-18.568408586094503,0.3,268.5684085860945,250.0
255.0,-18.56840858852258,0.3,268.5684085885226,250.0
256.0,-18.568408591711503,0.3,268.5684085917115,250.0
257.0,-18.56840859516825,0.3,268.56840859516825,250.0
258.0,-18.568408598443952,0.3,268.56840859844397,250.0
259.0,-18.568408601180035,0.3,268.56840860118,250.0
260.0,-18.568408603136646,0.3,268.5684086031366,250.0
261.0,-18.568408604202727,0.3,268.5684086042027,250.0
262.0,-18.56840860438931,0.3,268.56840860438933,250.0
263.0,-18.568408603809488,0.3,268.5684086038095,250.0
264.0,-18.56840860264937,0.3,268.56840860264936,250.0
265.0,-18.568408601134934,0.3,268.56840860113493,250.0
266.0,-18.56840859949923,0.3,268.5684085994992,250.0
267.0,-18.568408597953816,0.3,268.5684085979538,250.0
268.0,-18.568408596667116,0.3,268.5684085966671,250.0
269.0,-18.568408595751166,0.3,268.5684085957512,250.0
270.0,-18.568408595257054,0.3,268.56840859525704,250.0
271.0,-18.568408595178276,0.3,268.56840859517825,250.0
272.0,-18.568408595460326,0.3,268.5684085954603,250.0
273.0,-18.56840859601451,0.3,268.56840859601454,250.0
274.0,-18.56840859673366,0.3,268.56840859673366,250.0
275.0,-18.568408597507613,0.3,268.56840859750764,250.0
276.0,-18.568408598236655,0.3,268.56840859823666,250.0
277.0,-18.568408598841696,0.3,268.5684085988417,250.0
278.0,-18.568408599270416,0.3,268.5684085992704,250.0
279.0,-18.568408599499328,0.3,268.5684085994993,250.0
280.0,-18.56840859953212,0.3,268.5684085995321,250.0
281.0,-18.568408599395045,0.3,268.56840859939507,250.0
282.0,-18.568408599130365,0.3,268.56840859913035,250.0
283.0,-18.5684085987889,0.3,268.5684085987889,250.0
284.0,-18.568408598422717,0.3,268.5684085984227,250.0
285.0,-18.56840859807881,0.3,268.5684085980788,250.0
286.0,-18.568408597794324,0.3,268.5684085977943,250.0
287.0,-18.568408597593695,0.3,268.5684085975937,250.0
288.0,-18.568408597487704,0.3,268.5684085974877,250.0
289.0,-18.56840859747431,0.3,268.56840859747433,250.0
290.0,-18.568408597540877,0.3,268.5684085975409,250.0
291.0,-18.56840859766727,0.3,268.56840859766726,250.0
292.0,-18.568408597829382,0.3,268.5684085978294,250.0
293.0,-18.568408598002613,0.3,268.56840859800263,250.0
294.0,-18.568408598164815,0.3,268.5684085981648,250.0
295.0,-18.568408598298554,0.3,268.56840859829856,250.0
296.0,-18.568408598392427,0.3,268.5684085983924,250.0
297.0,-18.568408598441486,0.3,268.56840859844147,250.0
298.0,-18.56840859844683,0.3,268.5684085984468,250.0
299.0,-18.568408598414543,0.3,268.5684085984145,250.0
300.0,-18.56840859835421,0.3,268.5684085983542,250.0
301.0,-18.56840859827726,0.3,268.56840859827724,250.0
302.0,-18.56840859819532,0.3,268.56840859819533,250.0
303.0,-18.56840859811882,0.3,268.5684085981188,250.0
304.0,-18.568408598055942,0.3,268.56840859805595,250.0
305.0,-18.568408598012024,0.3,268.568408598012,250.0
306.0,-18.56840859798933,0.3,268.56840859798933,250.0
307.0,-18.56840859798727,0.3,268.5684085979873,250.0
308.0,-18.56840859800292,0.3,268.5684085980029,250.0
309.0,-18.568408598031716,0.3,268.56840859803174,250.0
310.0,-18.56840859806824,0.3,268.56840859806823,250.0
311.0,-18.56840859810699,0.3,268.568408598107,250.0
312.0,-18.568408598143066,0.3,268.56840859814304,250.0
313.0,-18.568408598172617,0.3,268.5684085981726,250.0
314.0,-18.568408598193162,0.3,268.5684085981932,250.0
315.0,-18.56840859820366,0.3,268.56840859820363,250.0
316.0,-18.56840859820442,0.3,268.5684085982044,250.0
317.0,-18.56840859819685,0.3,268.56840859819687,250.0
318.0,-18.56840859818312,0.3,268.5684085981831,250.0
319.0,-18.568408598165792,0.3,268.5684085981658,250.0
320.0,-18.568408598147464,0.3,268.56840859814747,250.0
321.0,-18.56840859813045,0.3,268.5684085981305,250.0
322.0,-18.568408598116555,0.3,268.56840859811655,250.0
323.0,-18.568408598106934,0.3,268.56840859810694,250.0
324.0,-18.568408598102067,0.3,268.56840859810205,250.0
325.0,-18.5684085981018,0.3,268.5684085981018,250.0
326.0,-18.56840859810546,0.3,268.56840859810546,250.0
327.0,-18.568408598112015,0.3,268.568408598112,250.0
328.0,-18.568408598120236,0.3,268.56840859812024,250.0
329.0,-18.568408598128904,0.3,268.5684085981289,250.0
330.0,-18.568408598136926,0.3,268.5684085981369,250.0
331.0,-18.568408598143456,0.3,268.56840859814344,250.0
332.0,-18.568408598147954,0.3,268.5684085981479,250.0
333.0,-18.568408598150203,0.3,268.5684085981502,250.0
334.0,-18.568408598150278,0.3,268.56840859815026,250.0
335.0,-18.568408598148512,0.3,268.5684085981485,250.0
336.0,-18.568408598145393,0.3,268.56840859814537,250.0
337.0,-18.568408598141495,0.3,268.5684085981415,250.0
338.0,-18.568408598137403,0.3,268.5684085981374,250.0
339.0,-18.568408598133626,0.3,268.5684085981336,250.0
340.0,-18.56840859813056,0.3,268.56840859813053,250.0
341.0,-18.56840859812846,0.3,268.5684085981285,250.0
342.0,-18.568408598127423,0.3,268.5684085981274,250.0
343.0,-18.568408598127405,0.3,268.5684085981274,250.0
344.0,-18.568408598128254,0.3,268.56840859812826,250.0
345.0,-18.568408598129743,0.3,268.56840859812974,250.0
346.0,-18.568408598131597,0.3,268.5684085981316,250.0
347.0,-18.56840859813354,0.3,268.56840859813354,250.0
