t_s,y1,y2,y3,r1,r2,r3,u1,u2,u3,e1,e2,e3
59.0,1.0699772809623358,1.0646410218683664,1.0812635500858951,1.02,1.02,1.02,0.9845745316860337,0.7852233336613216,0.4042945976396545,-0.04997600995425677,-0.04463949309866577,-0.061261860518601274
60.0,1.0699760099542568,1.0646394930986658,1.0812618605186013,1.02,1.02,1.02,0.9835750114869486,0.7843305437993483,0.40306936042928243,-0.04997473898611515,-0.04463796437370515,-0.06126017099469516
61.0,1.0699747389861152,1.0646379643737052,1.0812601709946952,1.02,1.02,1.02,0.9825755167072263,0.7834377845118742,0.4018441570093885,-0.04997346805790959,-0.044636435693483634,-0.061258481514175234
62.0,1.0699734680579096,1.0646364356934837,1.0812584815141753,1.02,1.02,1.02,0.9815760473460681,0.7825450557980045,0.400618987379105,-0.049972197169638743,-0.04463490705800033,-0.06125679207704038
63.0,1.0699721971696388,1.0646349070580003,1.0812567920770404,1.02,1.02,1.02,0.9805766034026753,0.7816523576568445,0.3993938515375642,-0.04997092632130151,-0.044633378467253904,-0.061255102683289264
64.0,1.0699709263213015,1.064633378467254,1.0812551026832893,1.02,1.02,1.02,0.9795771848762492,0.7807596900874995,0.3981687494838984,-0.04996965551289678,-0.04463184992124325,-0.06125341333292056
65.0,1.0699696555128968,1.0646318499212433,1.0812534133329206,1.02,1.02,1.02,0.9785777917659912,0.7798670530890746,0.39694368121724,-0.04996838474442322,-0.04463032141996748,-0.06125172402593293
66.0,1.0699683847444232,1.0646303214199675,1.081251724025933,1.02,1.02,1.02,0.9775784240711027,0.7789744466606752,0.39571864673672136,-0.04996711401587972,-0.04462879296342526,-0.06125003476232527
67.0,1.0699671140158797,1.0646287929634253,1.0812500347623253,1.02,1.02,1.02,0.9765790817907851,0.7780818708014067,0.39449364604147485,-0.049965843327264725,-0.044627264551615475,-0.06124834554209602
68.0,1.0699658433272647,1.0646272645516155,1.081248345542096,1.02,1.02,1.02,0.9755797649242398,0.7771893255103743,0.39326867913063296,-0.04996457267857757,-0.04462573618453747,-0.06124665636524407
69.0,1.0699645726785776,1.0646257361845375,1.081246656365244,1.02,1.02,1.02,0.9745804734706682,0.7762968107866836,0.3920437460033281,-0.049963302069816695,-0.04462420786218946,-0.06124496723176831
70.0,1.0699633020698167,1.0646242078621895,1.0812449672317683,1.02,1.02,1.02,0.9735812074292719,0.7754043266294398,0.3908188466586927,-0.049962031500981,-0.044622679584571,-0.06124327814166719
71.0,1.069962031500981,1.064622679584571,1.0812432781416672,1.02,1.02,1.02,0.9725819667992522,0.7745118730377484,0.38959398109585935,-0.04996076097206914,-0.044621151351680544,-0.061241589094939375
72.0,1.0699607609720692,1.0646211513516806,1.0812415890949394,1.02,1.02,1.02,0.9715827515798109,0.7736194500107147,0.38836914931396055,-0.049959490483080016,-0.04461962316351742,-0.061239900091583754
73.0,1.06995949048308,1.0646196231635174,1.0812399000915838,1.02,1.02,1.02,0.9705835617701493,0.7727270575474444,0.3871443513121289,-0.04995822003401251,-0.04461809502008007,-0.06123821113159922
74.0,1.0699582200340125,1.06461809502008,1.0812382111315992,1.02,1.02,1.02,0.969584397369469,0.7718346956470428,0.3859195870894969,-0.04995694962486508,-0.04461656692136762,-0.06123652221498399
75.0,1.069956949624865,1.0646165669213676,1.081236522214984,1.02,1.02,1.02,0.9685852583769717,0.7709423643086154,0.38469485664519726,-0.04995567925563682,-0.044615038867379164,-0.06123483334173718
76.0,1.0699556792556368,1.0646150388673792,1.0812348333417372,1.02,1.02,1.02,0.967586144791859,0.7700500635312678,0.38347015997836253,-0.04995440892632641,-0.04461351085811316,-0.06123314451185746
77.0,1.0699544089263264,1.0646135108581132,1.0812331445118575,1.02,1.02,1.02,0.9665870566133324,0.7691577933141055,0.3822454970881254,-0.04995313863693274,-0.044611982893568936,-0.0612314557253435
78.0,1.0699531386369328,1.064611982893569,1.0812314557253435,1.02,1.02,1.02,0.9655879938405938,0.7682655536562342,0.3810208679736185,-0.04995186838745447,-0.04461045497374516,-0.061229766982193956
79.0,1.0699518683874545,1.0646104549737452,1.081229766982194,1.02,1.02,1.02,0.9645889564728447,0.7673733445567593,0.37979627263397464,-0.04995059817789027,-0.04460892709864095,-0.061228078282407505
80.0,1.0699505981778903,1.064608927098641,1.0812280782824075,1.02,1.02,1.02,0.9635899445092869,0.7664811660147866,0.3785717110683265,-0.04994932800823926,-0.044607399268254966,-0.061226389625983035
81.0,1.0699493280082393,1.064607399268255,1.081226389625983,1.02,1.02,1.02,0.9625909579491221,0.7655890180294215,0.37734718327580685,-0.049948057878500096,-0.0446058714825861,-0.06122470101291899
82.0,1.0699480578785001,1.0646058714825861,1.081224701012919,1.02,1.02,1.02,0.961591996791552,0.7646969005997698,0.3761226892555485,-0.049946787788671454,-0.04460434374163347,-0.061223012443214486
83.0,1.0699467877886715,1.0646043437416335,1.0812230124432145,1.02,1.02,1.02,0.9605930610357786,0.7638048137249371,0.3748982290066842,-0.04994551773875222,-0.044602816045395954,-0.061221323916867965
84.0,1.0699455177387522,1.064602816045396,1.081221323916868,1.02,1.02,1.02,0.9595941506810035,0.7629127574040292,0.3736738025283468,-0.049944247728741065,-0.04460128839387223,-0.06121963543387832
85.0,1.069944247728741,1.0646012883938722,1.0812196354338783,1.02,1.02,1.02,0.9585952657264287,0.7620207316361518,0.37244940981966923,-0.049942977758636875,-0.044599760787061404,-0.06121794699424399
86.0,1.069942977758637,1.0645997607870614,1.081217946994244,1.02,1.02,1.02,0.957596406171256,0.7611287364204106,0.37122505087978436,-0.04994170782843854,-0.04459823322496259,-0.06121625859796387
87.0,1.0699417078284386,1.0645982332249626,1.0812162585979639,1.02,1.02,1.02,0.9565975720146872,0.7602367717559113,0.3700007257078251,-0.04994043793814451,-0.044596705707574236,-0.061214570245036626
88.0,1.0699404379381445,1.0645967057075743,1.0812145702450366,1.02,1.02,1.02,0.9555987632559243,0.7593448376417599,0.3687764343029244,-0.049939168087754116,-0.04459517823489545,-0.06121288193546115
89.0,1.0699391680877541,1.0645951782348955,1.0812128819354612,1.02,1.02,1.02,0.9545999798941692,0.7584529340770619,0.3675521766642152,-0.04993789827726558,-0.04459365080692512,-0.061211193669235886
90.0,1.0699378982772656,1.0645936508069251,1.081211193669236,1.02,1.02,1.02,0.953601221928624,0.7575610610609235,0.36632795279083047,-0.049936628506678016,-0.044592123423662144,-0.061209505446359724
91.0,1.069936628506678,1.0645921234236622,1.0812095054463597,1.02,1.02,1.02,0.9526024893584903,0.7566692185924502,0.36510376268190325,-0.04993535877599009,-0.04459059608510563,-0.06120781726683133
92.0,1.06993535877599,1.0645905960851056,1.0812078172668314,1.02,1.02,1.02,0.9516037821829706,0.7557774066707481,0.36387960633656663,-0.049934089085200695,-0.04458906879125424,-0.0612061291306496
93.0,1.0699340890852007,1.0645890687912543,1.0812061291306496,1.02,1.02,1.02,0.9506051004012666,0.754885625294923,0.3626554837539536,-0.04993281943430872,-0.04458754154210687,-0.06120444103781275
94.0,1.0699328194343087,1.0645875415421069,1.0812044410378128,1.02,1.02,1.02,0.9496064440125804,0.7539938744640808,0.36143139493319737,-0.049931549823312604,-0.04458601433766263,-0.06120275298832012
95.0,1.0699315498233126,1.0645860143376626,1.0812027529883201,1.02,1.02,1.02,0.9486078130161142,0.7531021541773276,0.36020733987343095,-0.049930280252211245,-0.044584487177920185,-0.06120106498217015
96.0,1.0699302802522113,1.0645844871779202,1.0812010649821702,1.02,1.02,1.02,0.9476092074110699,0.7522104644337693,0.35898331857378757,-0.04992901072100375,-0.04458296006287865,-0.06119937701936129
97.0,1.0699290107210038,1.0645829600628787,1.0811993770193613,1.02,1.02,1.02,0.9466106271966498,0.7513188052325117,0.35775933103340035,-0.04992774122968857,-0.04458143299253692,-0.06119768909989287
98.0,1.0699277412296886,1.064581432992537,1.081197689099893,1.02,1.02,1.02,0.945612072372056,0.750427176572661,0.3565353772514025,-0.04992647177826459,-0.04457990596689365,-0.0611960012237629
99.0,1.0699264717782646,1.0645799059668937,1.081196001223763,1.02,1.02,1.02,0.9446135429364907,0.7495355784533231,0.35531145722692725,-0.04992520236673048,-0.044578378985947964,-0.0611943133909707
100.0,1.0699252023667305,1.064578378985948,1.0811943133909707,1.02,1.02,1.02,0.9436150388891561,0.7486440108736041,0.3540875709591078,-0.04992393299508535,-0.04457685204969897,-0.06119262560151473
101.0,1.0699239329950854,1.064576852049699,1.0811926256015147,1.02,1.02,1.02,0.9426165602292544,0.7477524738326101,0.35286371844707753,-0.04992266366332765,-0.04457532515814511,-0.061190937855393646
102.0,1.0699226636633277,1.0645753251581451,1.0811909378553937,1.02,1.02,1.02,0.9416181069559879,0.7468609673294472,0.35163989968996967,-0.04992139437145626,-0.044573798311285495,-0.06118925015260612
103.0,1.0699213943714563,1.0645737983112855,1.0811892501526061,1.02,1.02,1.02,0.9406196790685588,0.7459694913632214,0.3504161146869175,-0.049920125119470304,-0.04457227150911902,-0.06118756249315127
104.0,1.0699201251194703,1.064572271509119,1.0811875624931513,1.02,1.02,1.02,0.9396212765661694,0.7450780459330391,0.3491923634370545,-0.049918855907368,-0.044570744751644575,-0.06118587487702731
105.0,1.069918855907368,1.0645707447516446,1.0811858748770273,1.02,1.02,1.02,0.9386228994480221,0.7441866310380062,0.347968645939514,-0.049917586735148456,-0.04456921803886127,-0.06118418730423314
106.0,1.0699175867351485,1.0645692180388613,1.0811841873042332,1.02,1.02,1.02,0.9376245477133192,0.743295246677229,0.3467449621934293,-0.04991631760281057,-0.04456769137076777,-0.06118249977476764
107.0,1.0699163176028106,1.0645676913707678,1.0811824997747677,1.02,1.02,1.02,0.936626221361263,0.7424038928498137,0.34552131219793397,-0.04991504851035278,-0.04456616474736319,-0.06118081228862948
108.0,1.0699150485103528,1.0645661647473632,1.0811808122886295,1.02,1.02,1.02,0.9356279203910559,0.7415125695548664,0.34429769595216136,-0.0499137794577742,-0.0445646381686462,-0.06117912484581711
109.0,1.0699137794577742,1.0645646381686462,1.0811791248458171,1.02,1.02,1.02,0.9346296448019005,0.7406212767914935,0.343074113455245,-0.0499125104450735,-0.04456311163461568,-0.06117743744632964
110.0,1.0699125104450735,1.0645631116346157,1.0811774374463297,1.02,1.02,1.02,0.933631394592999,0.7397300145588012,0.3418505647063184,-0.04991124147224957,-0.04456158514527098,-0.061175750090165515
111.0,1.0699112414722496,1.064561585145271,1.0811757500901655,1.02,1.02,1.02,0.932633169763554,0.7388387828558958,0.34062704970451513,-0.04990997253930107,-0.04456005870061053,-0.06117406277732362
112.0,1.069909972539301,1.0645600587006105,1.0811740627773236,1.02,1.02,1.02,0.931634970312768,0.7379475816818836,0.33940356844896863,-0.04990870364622668,-0.044558532300633225,-0.06117237550780241
113.0,1.0699087036462267,1.0645585323006332,1.0811723755078024,1.02,1.02,1.02,0.9306367962398434,0.7370564110358709,0.33818012093881256,-0.049907434793025285,-0.0445570059453384,-0.06117068828160077
114.0,1.0699074347930253,1.0645570059453384,1.0811706882816008,1.02,1.02,1.02,0.929638647543983,0.7361652709169642,0.33695670717318055,-0.04990616597969599,-0.044555479634724726,-0.06116900109871759
115.0,1.069906165979696,1.0645554796347247,1.0811690010987176,1.02,1.02,1.02,0.928640524224389,0.7352741613242697,0.3357333271512062,-0.04990489720623703,-0.044553953368790866,-0.061167313959151315
116.0,1.069904897206237,1.0645539533687909,1.0811673139591513,1.02,1.02,1.02,0.9276424262802643,0.7343830822568939,0.33450998087202316,-0.04990362847264751,-0.044552427147536156,-0.061165626862900835
117.0,1.0699036284726475,1.0645524271475362,1.0811656268629009,1.02,1.02,1.02,0.9266443537108113,0.7334920337139431,0.33328666833476517,-0.04990235977892632,-0.04455090097095926,-0.06116393980996482
118.0,1.0699023597789263,1.0645509009709593,1.0811639398099648,1.02,1.02,1.02,0.9256463065152328,0.732601015694524,0.33206338953856585,-0.04990109112507213,-0.044549374839059075,-0.06116225280034171
119.0,1.0699010911250721,1.064549374839059,1.0811622528003417,1.02,1.02,1.02,0.9246482846927314,0.7317100281977428,0.330840144482559,-0.0498998225110836,-0.04454784875183471,-0.061160565834030844
120.0,1.0698998225110836,1.0645478487518347,1.0811605658340309,1.02,1.02,1.02,0.9236502882425097,0.7308190712227061,0.32961693316587837,-0.04989855393695963,-0.044546322709284825,-0.061158878911030445
121.0,1.0698985539369597,1.0645463227092848,1.0811588789110305,1.02,1.02,1.02,0.9226523171637705,0.7299281447685204,0.32839375558765777,-0.04989728540269889,-0.04454479671140832,-0.0611571920313394
122.0,1.069897285402699,1.0645447967114083,1.0811571920313394,1.02,1.02,1.02,0.9216543714557165,0.7290372488342922,0.327170611747031,-0.04989601690830048,-0.0445432707582043,-0.06115550519495616
123.0,1.0698960169083005,1.0645432707582043,1.0811555051949562,1.02,1.02,1.02,0.9206564511175505,0.7281463834191282,0.32594750164313185,-0.04989474845376307,-0.04454174484967166,-0.061153818401880056
124.0,1.069894748453763,1.0645417448496717,1.08115381840188,1.02,1.02,1.02,0.9196585561484752,0.7272555485221347,0.32472442527509426,-0.049893480039085114,-0.044540218985809066,-0.06115213165210909
125.0,1.0698934800390851,1.064540218985809,1.081152131652109,1.02,1.02,1.02,0.9186606865476935,0.7263647441424185,0.3235013826420521,-0.04989221166426572,-0.04453869316661585,-0.06115044494564259
126.0,1.0698922116642657,1.0645386931666159,1.0811504449456426,1.02,1.02,1.02,0.9176628423144082,0.7254739702790861,0.3222783737431392,-0.04989094332930377,-0.04453716739209046,-0.06114875828247901
127.0,1.0698909433293038,1.0645371673920905,1.081148758282479,1.02,1.02,1.02,0.9166650234478221,0.7245832269312443,0.32105539857748966,-0.049889675034197944,-0.044535641662232006,-0.06114707166261679
128.0,1.069889675034198,1.064535641662232,1.0811470716626168,1.02,1.02,1.02,0.9156672299471381,0.7236925140979997,0.3198324571442373,-0.04988840677894668,-0.04453411597703938,-0.06114538508605527
129.0,1.0698884067789467,1.0645341159770394,1.0811453850860553,1.02,1.02,1.02,0.9146694618115592,0.7228018317784589,0.3186095494425162,-0.049887138563549316,-0.04453259033651147,-0.06114369855279267
130.0,1.0698871385635493,1.0645325903365115,1.0811436985527927,1.02,1.02,1.02,0.9136717190402882,0.7219111799717287,0.3173866754714603,-0.049885870388004516,-0.044531064740647164,-0.061142012062827655
131.0,1.0698858703880045,1.0645310647406472,1.0811420120628277,1.02,1.02,1.02,0.9126740016325281,0.7210205586769157,0.31616383523020375,-0.04988460225231073,-0.04452953918944558,-0.06114032561615956
132.0,1.0698846022523107,1.0645295391894456,1.0811403256161596,1.02,1.02,1.02,0.9116763095874819,0.7201299678931268,0.31494102871788054,-0.04988333415646706,-0.044528013682905376,-0.061138639212786394
133.0,1.069883334156467,1.0645280136829054,1.0811386392127864,1.02,1.02,1.02,0.9106786429043525,0.7192394076194687,0.3137182559336248,-0.04988206610047219,-0.04452648822102545,-0.06113695285270726
134.0,1.0698820661004722,1.0645264882210255,1.0811369528527073,1.02,1.02,1.02,0.9096810015823431,0.7183488778550482,0.3124955168765706,-0.049880798084324995,-0.04452496280380491,-0.06113526653592083
135.0,1.069880798084325,1.064524962803805,1.0811352665359208,1.02,1.02,1.02,0.9086833856206566,0.7174583785989721,0.3112728115458522,-0.04987953010802415,-0.04452343743124265,-0.06113358026242577
136.0,1.0698795301080242,1.0645234374312427,1.0811335802624258,1.02,1.02,1.02,0.9076857950184961,0.7165679098503472,0.31005013994060365,-0.049878262171568544,-0.044521912103337336,-0.061131894032220746
137.0,1.0698782621715686,1.0645219121033374,1.0811318940322208,1.02,1.02,1.02,0.9066882297750647,0.7156774716082805,0.30882750205995924,-0.04987699427495684,-0.044520386820088076,-0.06113020784530465
138.0,1.0698769942749569,1.064520386820088,1.0811302078453047,1.02,1.02,1.02,0.9056906898895656,0.7147870638718787,0.3076048979030531,-0.04987572641818794,-0.04451886158149376,-0.06112852170167615
139.0,1.069875726418188,1.0645188615814938,1.0811285217016762,1.02,1.02,1.02,0.9046931753612019,0.7138966866402489,0.3063823274690196,-0.049874458601260496,-0.044517336387553064,-0.06112683560133392
